construct,component,component_label,component_label_display,assigned_items,assigned_item_list,selection_method,selection_requested,elbow_component,selection_fallback_used,retained_components,respondent_scoring_method,respondent_scores_use_imputed_values,minimum_answered_share
rwp,1,rwp_authoritarian,right,10,populism__gov_trust;populism__mp_trust;right__censorship_morality;right__death_penalty;right__immigration_culture;right__immigration_economy;right__obey_authority;right__obey_law;right__stiff_sentences;right__traditional_values,scree_elbow,elbow,2,False,2,observed_assigned_item_mean,False,0.6
rwp,2,rwp_welfare,welfare,7,right__welfare_damage_lives;right__welfare_deserving;right__welfare_fiddling;right__welfare_helping_each_other;right__welfare_pride;right__welfare_spending;right__welfare_stand_own_feet,scree_elbow,elbow,2,False,2,observed_assigned_item_mean,False,0.6
