model,description,is_baseline,is_main_model,predictors,predictor_count,train_rows,test_rows,status,error,fit_used_sample_weight,n,rmse,mae,r2,weighted_rmse,weighted_mae,weighted_r2,pearson,spearman,observed_mean,predicted_mean,observed_std,predicted_std,weighted_observed_mean,weighted_predicted_mean,weighted_observed_std,weighted_predicted_std,weighted_rmse_gain_vs_mean_baseline_pct,weighted_mae_gain_vs_mean_baseline_pct,beats_mean_baseline_clearly,predicted_sd_ratio
mean_baseline,Predict the weighted training-set mean for every observation.,True,False,,0,8439,3617,ok,,True,3617,0.16020122949991708,0.12472448721060198,-0.00015169444430829238,0.15890190015129754,0.12374129629624388,-0.00010309282342024773,,,0.5452793210486049,0.5472522786163275,0.1601890800639078,2.220446049250313e-16,0.5456389571132724,0.5472522786163273,0.1588937099617877,0.0,0.0,0.0,False,1.3861407084455825e-15
year_only_baseline,Weighted linear regression using year only.,True,False,year,1,8439,3617,ok,,True,3617,0.1566379757730394,0.12187282722547216,0.04384497977449853,0.15657912068677932,0.12159316582723045,0.028921611519135193,0.22128678777652433,0.20843627472992587,0.5452793210486049,0.5480073305621891,0.1601890800639078,0.024311596865400926,0.5456389571132724,0.5480979672674261,0.1588937099617877,0.024405465103790113,1.461769470539122,1.7359851022335129,False,0.15176812836244366
ridge_regression,Weighted ridge regression using the main demographic predictor set (alpha=30).,False,True,age|year|gender|education|income|class|region|religion|religiosity|ethnicity|tenure|employment_status|marital_status,13,8439,3617,ok,,True,3617,0.14587137350190896,0.11435006962738774,0.1707712904770149,0.14564687474072158,0.11434021128065502,0.1597879042254542,0.41525650138546827,0.3974740741399062,0.5452793210486049,0.5463680497012808,0.1601890800639078,0.0600711182198463,0.5456389571132724,0.5485822556462094,0.1588937099617877,0.05892794576983756,8.341640595836342,7.597370721801804,True,0.37500133090146215
