alpha,cv_weighted_rmse,cv_weighted_mae,cv_weighted_r2,cv_folds,rank,selected
30.0,0.1425673131322467,0.11130319106856898,0.14540282146035993,5,1,True
10.0,0.1426317266892648,0.11135908800139971,0.14461049659138803,5,2,False
100.0,0.14267996568156863,0.11140422537165966,0.14408542118811735,5,3,False
3.0,0.1426940631343538,0.11140548357964239,0.1438540160740211,5,4,False
1.0,0.14273573572130327,0.11143600808078087,0.14335297870170507,5,5,False
300.0,0.14328308852927912,0.11180542202673957,0.13688086840184974,5,6,False
1000.0,0.1449835224530071,0.11303267557173757,0.11635955745793336,5,7,False
3000.0,0.14746090796103492,0.11496747196978577,0.08597345639430502,5,8,False
