year,predictor,mean_abs_coef,max_abs_coef,n_levels,predictor_track,target_column,permutation_repeats,permutation_unique_values,permutation_rmse_increase_mean,permutation_rmse_increase_std,permutation_r2_drop_mean,permutation_r2_drop_std
2011,age,0.000825362430863025,0.000825362430863025,1,trend,rwp_score,20,79,0.0018722098505424612,0.0003094800978916825,0.026870358839245732,0.0044773901329372215
2011,class,0.02226342613954735,0.02722460168170533,3,trend,rwp_score,20,5,0.0010571591410251768,0.00024864831902623633,0.015123161905315808,0.0035717407395721274
2011,education,0.04780651539582392,0.0654989407576476,2,trend,rwp_score,20,4,0.006025981527841918,0.0007207943111302698,0.08794562057943855,0.010779338305426205
2011,employment_status,0.029525868913440396,0.04990917153644947,4,trend,rwp_score,20,5,0.0017198583824625997,0.0002707567257542335,0.02466781535158425,0.003910793477245997
2011,ethnicity,0.02982794041945848,0.061101657161826264,4,trend,rwp_score,20,6,0.0016266968303258855,0.0002760401351891724,0.02332321655031176,0.0039862930684046
2011,gender,0.015108107530614987,0.015108107530614987,1,trend,rwp_score,20,2,0.00042818634785737956,0.0001483216617684887,0.006109663230590983,0.0021194617439472207
2011,income,0.00947359066920325,0.020237995909814722,3,trend,rwp_score,20,5,0.0004099471114963241,0.00012532836287263937,0.005848686254709345,0.0017908304068655467
2011,marital_status,0.011801399120965296,0.02815934461919424,4,trend,rwp_score,20,5,0.001456414246241515,0.00027022526306412807,0.020867661547095483,0.0038923510087749483
2011,region,0.008035006845089995,0.01864031778503424,4,trend,rwp_score,20,3,0.00013238089850767452,0.00010475560096946345,0.0018868677577673965,0.0014932620121463748
2011,religion,0.025828027627380297,0.0331199935814503,2,trend,rwp_score,20,4,0.0015043305249628173,0.0003178368878451265,0.02155978710185103,0.0045822810305686185
2011,religiosity,0.03515309625733875,0.04841571187538826,3,trend,rwp_score,20,5,0.002248806307871519,0.00028901190221612173,0.03232260675743721,0.0041897991586834415
2011,tenure,0.051914127542903074,0.08515280785921485,2,trend,rwp_score,20,4,0.0007134691973607818,0.00015021808612400875,0.010191278047535368,0.0021531381939594993
2013,age,0.0008287925936726847,0.0008287925936726847,1,trend,rwp_score,20,81,0.001760818488318952,0.00028466324351574034,0.02360876111958571,0.0038408569422793593
2013,class,0.02938486825331856,0.03223174577742912,3,trend,rwp_score,20,5,0.0017347143276887898,0.0003114645956160247,0.023257267693593577,0.004203757056330391
2013,education,0.04766010076944252,0.0718458427287117,2,trend,rwp_score,20,4,0.0077685639805950574,0.000661489823375139,0.10656961499045485,0.009328838025290071
2013,employment_status,0.04152974353285109,0.06529235062141366,4,trend,rwp_score,20,5,0.003279076801669453,0.0004361718900989802,0.044223900938398085,0.005952634776333001
2013,ethnicity,0.02432632898009592,0.0519088669623636,4,trend,rwp_score,20,6,0.0007896568649304575,0.00022227118320959077,0.01054869203440854,0.0029765509646596227
2013,gender,0.009483494246539895,0.009483494246539895,1,trend,rwp_score,20,2,0.000152111560611079,8.585311162663657e-05,0.002026889336622034,0.001144436814385904
2013,income,0.0067557167511961315,0.00991551959949544,3,trend,rwp_score,20,5,0.00013015337593595827,8.507531173578262e-05,0.0017341943860784248,0.0011340692961975
2013,marital_status,0.014329894504627152,0.039903205192983536,4,trend,rwp_score,20,4,0.0019411680646173337,0.00029250792931804007,0.02604472177675826,0.003953487638211932
2013,region,0.02092148024941196,0.05965592536717958,4,trend,rwp_score,20,3,0.0009364062218933502,0.0002595574834331452,0.012516569164804842,0.0034843342785063893
2013,religion,0.028600281440055206,0.031053275661403066,2,trend,rwp_score,20,4,0.0026680865771153985,0.0003836998797657087,0.03589925153857275,0.005209113353484624
2013,religiosity,0.024211274685139682,0.031587833009114816,3,trend,rwp_score,20,5,0.0008398925847879115,0.00019695863432074988,0.01122127129264075,0.00263997974939664
2013,tenure,0.04607546825484121,0.07767800939461184,2,trend,rwp_score,20,4,0.0005725592791580927,0.0002172492209608841,0.007642726172094966,0.002906781162930304
2019,age,9.105378847851747e-05,9.105378847851747e-05,1,trend,rwp_score,20,74,1.656210853983181e-05,3.636322650545118e-05,0.0002095137519710355,0.00045993659783531634
2019,class,0.02933632446674207,0.03513120501921709,3,trend,rwp_score,20,5,0.0023641225797653765,0.000295573649677849,0.030176297124850336,0.0038059611484694412
2019,education,0.0521209725585929,0.0873447058898992,2,trend,rwp_score,20,4,0.012146014268957447,0.0007390891189374426,0.16091534573943983,0.010237225725075929
2019,employment_status,0.042791309636513675,0.07899795614133616,4,trend,rwp_score,20,5,0.0026107600162201747,0.00030709191279909066,0.03335618618778755,0.003964291262644869
2019,ethnicity,0.032632439446867396,0.05672290287633754,4,trend,rwp_score,20,6,0.0020136957488441952,0.0002823346708346654,0.025668705730039744,0.003626811389346029
