year,education,n,weighted_mean_rwp_score
2011,low,1245,0.6182102168230903
2011,mid,420,0.5883151133495619
2011,high,839,0.5465451612579346
2013,low,1159,0.6059356571590082
2013,mid,437,0.572069801223698
2013,high,920,0.523504638450933
2019,low,1168,0.5430487861592129
2019,mid,408,0.5103683877617974
2019,high,970,0.4359221424133015
2024,low,969,0.5907001899922542
2024,mid,1044,0.5423862577089759
2024,high,1780,0.4705603834451313
