year,religion,n,weighted_mean_rwp_score
2011,none,1289,0.5881970310804217
2011,christian,1378,0.5969776755610816
2011,non_christian,137,0.5525746763461007
2013,none,1367,0.5617746684783668
2013,christian,1268,0.5865630596085318
2013,non_christian,143,0.5383554041192093
2019,none,1376,0.4765326050226754
2019,christian,1066,0.5194834330624065
2019,non_christian,149,0.4969451190751703
2024,none,1909,0.503174359647518
2024,christian,1646,0.573173187581602
2024,non_christian,199,0.5313823399930424
