year,n,weighted_n,predictor_count,encoded_feature_count,rmse,mae,r2,weighted_rmse,weighted_mae,weighted_r2,pearson,spearman
2011,2818,2818,12,44,0.12333762186856932,0.0970945894881478,0.11349826024329324,0.12310270645064407,0.09691672966744704,0.12344034315059926,0.33756848359737784,0.3328380813050346
2013,2786,2786,12,44,0.12845691323601152,0.10092209224094759,0.13367413002809536,0.1291358029484306,0.10135552750648204,0.1402910933745205,0.3664179366096608,0.34277279308380526
2019,2595,2595,12,44,0.12783963114009905,0.10045960377031063,0.17378163171244276,0.12785026176008116,0.10034912327637995,0.19162734993506825,0.41825666294212904,0.39264703042257854
2024,3857,3857,12,44,0.16224400751352103,0.1289194777823131,0.1770582496044526,0.16112142329989398,0.12704627967621268,0.18224923867374165,0.4208163462012529,0.4209168224240911
