metric,submitted,corrected,difference
weighted_r2,0.1597879042254542,0.1503113445958082,-0.009476559629645998
weighted_rmse,0.1456468747407215,0.1464659305875709,0.0008190558468494091
weighted_mae,0.114340211280655,0.1149147212822821,0.0005745100016271015
holdout_weighted_r2,0.1431667581266698,0.1296447181251055,-0.01352204000156429
holdout_weighted_rmse,0.1686461099286437,0.1699716377531299,0.0013255278244861946
holdout_weighted_mae,0.1326817830082827,0.1338671077144403,0.0011853247061575922
